ID,Length,GC_Content,Description
AP009256.1,2089645,59.18,"AP009256.1 Bifidobacterium adolescentis ATCC 15703 DNA, complete genome"
AP009256.1,2089645,59.18,"AP009256.1 Bifidobacterium adolescentis ATCC 15703 DNA, complete genome"
CP001606.1,1938483,60.48,"CP001606.1 Bifidobacterium animalis subsp. lactis DSM 10140, complete genome"
CP001606.1,1938483,60.48,"CP001606.1 Bifidobacterium animalis subsp. lactis DSM 10140, complete genome"
AP010888.1,2385164,60.33,"AP010888.1 Bifidobacterium longum subsp. longum JCM 1217 DNA, complete genome"
AP010888.1,2385164,60.33,"AP010888.1 Bifidobacterium longum subsp. longum JCM 1217 DNA, complete genome"
AP012323.1,2211039,62.66,"AP012323.1 Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456 DNA, complete genome"
AP012323.1,2211039,62.66,"AP012323.1 Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456 DNA, complete genome"
AP012322.1,2021974,59.43,"AP012322.1 Bifidobacterium angulatum DSM 20098 = JCM 7096 DNA, complete genome"
AP012322.1,2021974,59.43,"AP012322.1 Bifidobacterium angulatum DSM 20098 = JCM 7096 DNA, complete genome"
AP012324.1,2269415,58.89,"AP012324.1 Bifidobacterium breve DSM 20213 = JCM 1192 DNA, complete genome"
AP012324.1,2269415,58.89,"AP012324.1 Bifidobacterium breve DSM 20213 = JCM 1192 DNA, complete genome"
AP012325.1,2079525,56.2,"AP012325.1 Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043 DNA, complete genome"
AP012325.1,2079525,56.2,"AP012325.1 Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043 DNA, complete genome"
AP012330.1,2313752,56.38,"AP012330.1 Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505 DNA, complete genome"
AP012330.1,2313752,56.38,"AP012330.1 Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505 DNA, complete genome"
AP012326.1,2635669,58.54,"AP012326.1 Bifidobacterium dentium JCM 1195 = DSM 20436 DNA, complete genome"
AP012326.1,2635669,58.54,"AP012326.1 Bifidobacterium dentium JCM 1195 = DSM 20436 DNA, complete genome"
AP012331.1,3158347,64.63,"AP012331.1 Bifidobacterium scardovii JCM 12489 = DSM 13734 DNA, complete genome"
AP012331.1,3158347,64.63,"AP012331.1 Bifidobacterium scardovii JCM 12489 = DSM 13734 DNA, complete genome"
AP012332.1,1667406,41.36,"AP012332.1 Gardnerella vaginalis ATCC 14018 = JCM 11026 DNA, complete genome"
AP012332.1,1667406,41.36,"AP012332.1 Gardnerella vaginalis ATCC 14018 = JCM 11026 DNA, complete genome"
AP012333.1,1890857,58.31,"AP012333.1 Parascardovia denticolens DSM 10105 = JCM 12538 DNA, complete genome"
AP012333.1,1890857,58.31,"AP012333.1 Parascardovia denticolens DSM 10105 = JCM 12538 DNA, complete genome"
CP017695.1,1978157,63.34,"CP017695.1 Bifidobacterium pseudolongum subsp. globosum DSM 20092, complete genome"
CP017695.1,1978157,63.34,"CP017695.1 Bifidobacterium pseudolongum subsp. globosum DSM 20092, complete genome"
CP017696.1,2190368,60.01,"CP017696.1 Bifidobacterium asteroides DSM 20089, complete genome"
CP017696.1,2190368,60.01,"CP017696.1 Bifidobacterium asteroides DSM 20089, complete genome"
CP062948.1,2965103,62.68,"CP062948.1 Bifidobacterium lemurum strain DSM 28807 chromosome, complete genome"
CP062948.1,2965103,62.68,"CP062948.1 Bifidobacterium lemurum strain DSM 28807 chromosome, complete genome"
NC_008618.1,2089645,59.18,"NC_008618.1 Bifidobacterium adolescentis ATCC 15703, complete sequence"
NC_008618.1,2089645,59.18,"NC_008618.1 Bifidobacterium adolescentis ATCC 15703, complete sequence"
NC_012815.1,1938483,60.48,"NC_012815.1 Bifidobacterium animalis subsp. lactis DSM 10140, complete sequence"
NC_012815.1,1938483,60.48,"NC_012815.1 Bifidobacterium animalis subsp. lactis DSM 10140, complete sequence"
NC_015067.1,2385164,60.33,"NC_015067.1 Bifidobacterium longum subsp. longum JCM 1217, complete sequence"
NC_015067.1,2385164,60.33,"NC_015067.1 Bifidobacterium longum subsp. longum JCM 1217, complete sequence"
NZ_AP012323.1,2211039,62.66,"NZ_AP012323.1 Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456 strain JCM 1255 chromosome, complete genome"
NZ_AP012323.1,2211039,62.66,"NZ_AP012323.1 Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456 strain JCM 1255 chromosome, complete genome"
NZ_AP012322.1,2021974,59.43,"NZ_AP012322.1 Bifidobacterium angulatum DSM 20098 = JCM 7096 chromosome, complete genome"
NZ_AP012322.1,2021974,59.43,"NZ_AP012322.1 Bifidobacterium angulatum DSM 20098 = JCM 7096 chromosome, complete genome"
NZ_AP012324.1,2269415,58.89,"NZ_AP012324.1 Bifidobacterium breve DSM 20213 = JCM 1192 chromosome, complete genome"
